x,y,L_track,R_track
7.244708964,-8.929173009,1.5,1.5
7.088943865,-8.894948028,1.5,1.5
6.933800695,-8.858006017,1.5,1.5
6.779326843,-8.818358262,1.5,1.5
6.625569494,-8.776016873,1.5,1.5
6.472575616,-8.730994782,1.5,1.5
6.320391941,-8.683305743,1.5,1.5
6.169064954,-8.632964323,1.5,1.5
6.01864088,-8.579985899,1.5,1.5
5.869165668,-8.524386652,1.5,1.5
5.720684974,-8.466183568,1.5,1.5
5.573244154,-8.405394423,1.5,1.5
5.426888245,-8.342037787,1.5,1.5
5.281661952,-8.276133013,1.5,1.5
5.137609636,-8.207700231,1.5,1.5
4.994775298,-8.136760345,1.5,1.5
4.853202569,-8.063335024,1.5,1.5
4.712934692,-7.987446696,1.5,1.5
4.574014515,-7.909118542,1.5,1.5
4.43648447,-7.828374488,1.5,1.5
4.300386568,-7.745239198,1.5,1.5
4.16576238,-7.659738066,1.5,1.5
4.03265303,-7.571897208,1.5,1.5
3.901099175,-7.481743458,1.5,1.5
3.771141,-7.389304352,1.5,1.5
3.642818202,-7.294608128,1.5,1.5
3.516169978,-7.19768371,1.5,1.5
3.391235013,-7.098560705,1.5,1.5
3.268051471,-6.997269391,1.5,1.5
3.146656977,-6.893840708,1.5,1.5
3.027088614,-6.788306249,1.5,1.5
2.909382904,-6.680698251,1.5,1.5
2.793575802,-6.571049583,1.5,1.5
2.67970268,-6.459393738,1.5,1.5
2.567798324,-6.345764822,1.5,1.5
2.457896914,-6.230197545,1.5,1.5
2.350032022,-6.112727206,1.5,1.5
2.244236595,-5.993389689,1.5,1.5
2.140542949,-5.872221445,1.5,1.5
2.038982758,-5.749259487,1.5,1.5
1.939587045,-5.624541374,1.5,1.5
1.842386171,-5.498105203,1.5,1.5
1.747409826,-5.369989593,1.5,1.5
1.654687022,-5.24023368,1.5,1.5
1.564246082,-5.108877097,1.5,1.5
1.476114631,-4.975959969,1.5,1.5
1.39031959,-4.841522897,1.5,1.5
1.306887166,-4.705606945,1.5,1.5
1.225842844,-4.568253629,1.5,1.5
1.147211379,-4.429504906,1.5,1.5
1.07101679,-4.289403158,1.5,1.5
0.997282351,-4.147991178,1.5,1.5
0.926030585,-4.005312163,1.5,1.5
0.857283256,-3.861409695,1.5,1.5
0.791061363,-3.716327731,1.5,1.5
0.727385136,-3.570110586,1.5,1.5
0.666274023,-3.422802923,1.5,1.5
0.607746693,-3.27444974,1.5,1.5
0.551821022,-3.125096351,1.5,1.5
0.498514093,-2.974788378,1.5,1.5
0.44784219,-2.823571733,1.5,1.5
0.39982079,-2.671492607,1.5,1.5
0.354464562,-2.518597453,1.5,1.5
0.311787361,-2.364932975,1.5,1.5
0.271802222,-2.21054611,1.5,1.5
0.234521359,-2.055484016,1.5,1.5
0.199956161,-1.89979406,1.5,1.5
0.168117185,-1.743523797,1.5,1.5
0.139014156,-1.586720962,1.5,1.5
0.112655965,-1.429433451,1.5,1.5
0.089050662,-1.271709308,1.5,1.5
0.068205459,-1.113596712,1.5,1.5
0.050126722,-0.95514396,1.5,1.5
0.034819974,-0.796399452,1.5,1.5
0.02228989,-0.637411677,1.5,1.5
0.012540297,-0.4782292,1.5,1.5
0.005574175,-0.318900645,1.5,1.5
0.00139365,-0.159474679,1.5,1.5
0,-3.35E-15,1.5,1.5
-0.00139365,0.159474679,1.5,1.5
-0.005574175,0.318900645,1.5,1.5
-0.012540297,0.4782292,1.5,1.5
-0.02228989,0.637411677,1.5,1.5
-0.034819974,0.796399452,1.5,1.5
-0.050126722,0.95514396,1.5,1.5
-0.068205459,1.113596712,1.5,1.5
-0.089050662,1.271709308,1.5,1.5
-0.112655965,1.429433451,1.5,1.5
-0.139014156,1.586720962,1.5,1.5
-0.168117185,1.743523797,1.5,1.5
-0.199956161,1.89979406,1.5,1.5
-0.234521359,2.055484016,1.5,1.5
-0.271802222,2.21054611,1.5,1.5
-0.311787361,2.364932975,1.5,1.5
-0.354464562,2.518597453,1.5,1.5
-0.39982079,2.671492607,1.5,1.5
-0.44784219,2.823571733,1.5,1.5
-0.498514093,2.974788378,1.5,1.5
-0.551821022,3.125096351,1.5,1.5
-0.607746693,3.27444974,1.5,1.5
-0.666274023,3.422802923,1.5,1.5
-0.727385136,3.570110586,1.5,1.5
-0.791061363,3.716327731,1.5,1.5
-0.857283256,3.861409695,1.5,1.5
-0.926030585,4.005312163,1.5,1.5
-0.997282351,4.147991178,1.5,1.5
-1.07101679,4.289403158,1.5,1.5
-1.147211379,4.429504906,1.5,1.5
-1.225842844,4.568253629,1.5,1.5
-1.306887166,4.705606945,1.5,1.5
-1.39031959,4.841522897,1.5,1.5
-1.476114631,4.975959969,1.5,1.5
-1.564246082,5.108877097,1.5,1.5
-1.654687022,5.24023368,1.5,1.5
-1.747409826,5.369989593,1.5,1.5
-1.842386171,5.498105203,1.5,1.5
-1.939587045,5.624541374,1.5,1.5
-2.038982758,5.749259487,1.5,1.5
-2.140542949,5.872221445,1.5,1.5
-2.244236595,5.993389689,1.5,1.5
-2.350032022,6.112727206,1.5,1.5
-2.457896914,6.230197545,1.5,1.5
-2.567798324,6.345764822,1.5,1.5
-2.67970268,6.459393738,1.5,1.5
-2.793575802,6.571049583,1.5,1.5
-2.909382904,6.680698251,1.5,1.5
-3.027088614,6.788306249,1.5,1.5
-3.146656977,6.893840708,1.5,1.5
-3.268051471,6.997269391,1.5,1.5
-3.391235013,7.098560705,1.5,1.5
-3.516169978,7.19768371,1.5,1.5
-3.642818202,7.294608128,1.5,1.5
-3.771141,7.389304352,1.5,1.5
-3.901099175,7.481743458,1.5,1.5
-4.03265303,7.571897208,1.5,1.5
-4.16576238,7.659738066,1.5,1.5
-4.300386568,7.745239198,1.5,1.5
-4.43648447,7.828374488,1.5,1.5
-4.574014515,7.909118542,1.5,1.5
-4.712934692,7.987446696,1.5,1.5
-4.853202569,8.063335024,1.5,1.5
-4.994775298,8.136760345,1.5,1.5
-5.137609636,8.207700231,1.5,1.5
-5.281661952,8.276133013,1.5,1.5
-5.426888245,8.342037787,1.5,1.5
-5.573244154,8.405394423,1.5,1.5
-5.720684974,8.466183568,1.5,1.5
-5.869165668,8.524386652,1.5,1.5
-6.01864088,8.579985899,1.5,1.5
-6.169064954,8.632964323,1.5,1.5
-6.320391941,8.683305743,1.5,1.5
-6.472575616,8.730994782,1.5,1.5
-6.625569494,8.776016873,1.5,1.5
-6.779326843,8.818358262,1.5,1.5
-6.933800695,8.858006017,1.5,1.5
-7.088943865,8.894948028,1.5,1.5
-7.244708964,8.929173009,1.5,1.5
-7.401048413,8.960670506,1.5,1.5
-7.557914455,8.989430899,1.5,1.5
-7.715259176,9.015445403,1.5,1.5
-7.873034512,9.03870607,1.5,1.5
-8.031192271,9.059205796,1.5,1.5
-8.189684142,9.076938319,1.5,1.5
-8.348461712,9.091898222,1.5,1.5
-8.507476481,9.104080937,1.5,1.5
-8.666679878,9.113482741,1.5,1.5
-8.826023272,9.120100762,1.5,1.5
-8.985457991,9.12393298,1.5,1.5
-9.144935334,9.124978224,1.5,1.5
-9.304406587,9.123236173,1.5,1.5
-9.46382304,9.118707362,1.5,1.5
-9.623135996,9.111393172,1.5,1.5
-9.782296793,9.101295838,1.5,1.5
-9.941256814,9.088418444,1.5,1.5
-10.0999675,9.072764924,1.5,1.5
-10.25838038,9.054340059,1.5,1.5
-10.41644706,9.033149478,1.5,1.5
-10.57411925,9.009199653,1.5,1.5
-10.73134881,8.982497899,1.5,1.5
-10.88808769,8.953052374,1.5,1.5
-11.04428802,8.920872071,1.5,1.5
-11.19990209,8.88596682,1.5,1.5
-11.35488236,8.848347283,1.5,1.5
-11.5091815,8.808024952,1.5,1.5
-11.66275238,8.765012142,1.5,1.5
-11.81554808,8.719321994,1.5,1.5
-11.96752193,8.670968462,1.5,1.5
-12.11862751,8.619966318,1.5,1.5
-12.26881867,8.566331139,1.5,1.5
-12.41804952,8.51007931,1.5,1.5
-12.56627448,8.451228013,1.5,1.5
-12.71344829,8.389795224,1.5,1.5
-12.85952597,8.325799709,1.5,1.5
-13.00446291,8.259261015,1.5,1.5
-13.14821485,8.190199467,1.5,1.5
-13.29073786,8.118636161,1.5,1.5
-13.43198841,8.044592956,1.5,1.5
-13.57192336,7.968092469,1.5,1.5
-13.71049997,7.889158068,1.5,1.5
-13.8476759,7.807813864,1.5,1.5
-13.98340925,7.724084704,1.5,1.5
-14.11765857,7.637996164,1.5,1.5
-14.25038284,7.549574541,1.5,1.5
-14.38154152,7.458846842,1.5,1.5
-14.51109456,7.365840783,1.5,1.5
-14.63900237,7.270584771,1.5,1.5
-14.76522588,7.173107905,1.5,1.5
-14.88972655,7.073439958,1.5,1.5
-15.01246633,6.971611375,1.5,1.5
-15.13340775,6.867653261,1.5,1.5
-15.25251385,6.761597371,1.5,1.5
-15.36974826,6.653476099,1.5,1.5
-15.48507516,6.543322473,1.5,1.5
-15.59845933,6.431170139,1.5,1.5
-15.70986613,6.317053355,1.5,1.5
-15.81926153,6.20100698,1.5,1.5
-15.92661212,6.083066461,1.5,1.5
-16.03188511,5.963267822,1.5,1.5
-16.13504833,5.841647659,1.5,1.5
-16.23607029,5.718243119,1.5,1.5
-16.33492011,5.5930919,1.5,1.5
-16.43156761,5.466232228,1.5,1.5
-16.52598326,5.337702853,1.5,1.5
-16.61813823,5.207543038,1.5,1.5
-16.70800436,5.075792538,1.5,1.5
-16.7955542,4.9424916,1.5,1.5
-16.88076102,4.80768094,1.5,1.5
-16.96359878,4.671401737,1.5,1.5
-17.04404218,4.53369562,1.5,1.5
-17.12206665,4.394604651,1.5,1.5
-17.19764835,4.254171316,1.5,1.5
-17.2707642,4.112438513,1.5,1.5
-17.34139187,3.969449534,1.5,1.5
-17.40950978,3.825248057,1.5,1.5
-17.47509712,3.679878129,1.5,1.5
-17.53813386,3.533384154,1.5,1.5
-17.59860075,3.38581088,1.5,1.5
-17.65647931,3.237203385,1.5,1.5
-17.71175187,3.087607062,1.5,1.5
-17.76440153,2.937067605,1.5,1.5
-17.81441223,2.785630999,1.5,1.5
-17.86176868,2.633343501,1.5,1.5
-17.90645642,2.480251628,1.5,1.5
-17.9484618,2.326402144,1.5,1.5
-17.98777198,2.171842042,1.5,1.5
-18.02437496,2.016618535,1.5,1.5
-18.05825956,1.860779036,1.5,1.5
-18.08941543,1.704371149,1.5,1.5
-18.11783305,1.547442648,1.5,1.5
-18.14350374,1.390041469,1.5,1.5
-18.16641966,1.232215692,1.5,1.5
-18.18657381,1.074013525,1.5,1.5
-18.20396004,0.915483292,1.5,1.5
-18.21857302,0.756673418,1.5,1.5
-18.23040831,0.597632413,1.5,1.5
-18.23946228,0.438408856,1.5,1.5
-18.24573217,0.279051384,1.5,1.5
-18.24921606,0.119608673,1.5,1.5
-18.24991289,-0.039870573,1.5,1.5
-18.24782245,-0.19933764,1.5,1.5
-18.24294538,-0.358743818,1.5,1.5
-18.23528315,-0.518040415,1.5,1.5
-18.22483813,-0.677178772,1.5,1.5
-18.21161348,-0.83611028,1.5,1.5
-18.19561327,-0.994786392,1.5,1.5
-18.17684236,-1.153158639,1.5,1.5
-18.1553065,-1.311178645,1.5,1.5
-18.13101227,-1.468798142,1.5,1.5
-18.10396708,-1.625968983,1.5,1.5
-18.0741792,-1.782643159,1.5,1.5
-18.04165772,-1.938772814,1.5,1.5
-18.00641259,-2.094310256,1.5,1.5
-17.96845456,-2.249207974,1.5,1.5
-17.92779522,-2.403418656,1.5,1.5
-17.88444701,-2.556895194,1.5,1.5
-17.83842316,-2.70959071,1.5,1.5
-17.78973773,-2.861458561,1.5,1.5
-17.73840559,-3.012452358,1.5,1.5
-17.68444241,-3.162525978,1.5,1.5
-17.6278647,-3.311633581,1.5,1.5
-17.56868971,-3.45972962,1.5,1.5
-17.50693554,-3.606768858,1.5,1.5
-17.44262104,-3.752706382,1.5,1.5
-17.37576586,-3.897497613,1.5,1.5
-17.30639043,-4.041098324,1.5,1.5
-17.23451592,-4.183464651,1.5,1.5
-17.16016431,-4.324553107,1.5,1.5
-17.08335829,-4.464320596,1.5,1.5
-17.00412133,-4.602724424,1.5,1.5
-16.92247763,-4.739722315,1.5,1.5
-16.83845213,-4.875272422,1.5,1.5
-16.7520705,-5.00933334,1.5,1.5
-16.66335913,-5.141864119,1.5,1.5
-16.57234511,-5.272824277,1.5,1.5
-16.47905624,-5.402173811,1.5,1.5
-16.38352101,-5.52987321,1.5,1.5
-16.28576862,-5.655883468,1.5,1.5
-16.18582891,-5.780166093,1.5,1.5
-16.08373242,-5.902683122,1.5,1.5
-15.97951034,-6.023397132,1.5,1.5
-15.87319449,-6.14227125,1.5,1.5
-15.76481736,-6.259269165,1.5,1.5
-15.65441204,-6.374355139,1.5,1.5
-15.54201226,-6.487494017,1.5,1.5
-15.42765236,-6.598651242,1.5,1.5
-15.31136727,-6.707792858,1.5,1.5
-15.1931925,-6.814885528,1.5,1.5
-15.07316416,-6.91989654,1.5,1.5
-14.95131891,-7.022793817,1.5,1.5
-14.82769396,-7.123545929,1.5,1.5
-14.70232708,-7.2221221,1.5,1.5
-14.57525657,-7.318492218,1.5,1.5
-14.44652123,-7.412626848,1.5,1.5
-14.3161604,-7.504497235,1.5,1.5
-14.18421388,-7.594075317,1.5,1.5
-14.05072199,-7.68133373,1.5,1.5
-13.9157255,-7.766245822,1.5,1.5
-13.77926565,-7.848785656,1.5,1.5
-13.64138412,-7.928928018,1.5,1.5
-13.50212302,-8.00664843,1.5,1.5
-13.3615249,-8.08192315,1.5,1.5
-13.2196327,-8.154729185,1.5,1.5
-13.07648976,-8.225044297,1.5,1.5
-12.93213981,-8.292847007,1.5,1.5
-12.78662694,-8.358116604,1.5,1.5
-12.6399956,-8.42083315,1.5,1.5
-12.49229057,-8.48097749,1.5,1.5
-12.34355699,-8.538531251,1.5,1.5
-12.19384027,-8.593476853,1.5,1.5
-12.04318615,-8.645797512,1.5,1.5
-11.89164064,-8.695477247,1.5,1.5
-11.73925005,-8.742500882,1.5,1.5
-11.58606091,-8.786854055,1.5,1.5
-11.43212003,-8.828523216,1.5,1.5
-11.27747441,-8.867495639,1.5,1.5
-11.12217131,-8.903759417,1.5,1.5
-10.96625816,-8.937303475,1.5,1.5
-10.80978258,-8.968117566,1.5,1.5
-10.65279237,-8.996192277,1.5,1.5
-10.49533548,-9.021519034,1.5,1.5
-10.33746001,-9.044090099,1.5,1.5
-10.17921419,-9.063898578,1.5,1.5
-10.02064636,-9.080938421,1.5,1.5
-9.861804937,-9.095204422,1.5,1.5
-9.702738455,-9.106692225,1.5,1.5
-9.543495498,-9.115398319,1.5,1.5
-9.384124708,-9.121320046,1.5,1.5
-9.224674767,-9.124455597,1.5,1.5
-9.065194379,-9.124804014,1.5,1.5
-8.905732259,-9.12236519,1.5,1.5
-8.746337117,-9.117139871,1.5,1.5
-8.587057639,-9.109129652,1.5,1.5
-8.427942481,-9.098336981,1.5,1.5
-8.269040244,-9.084765154,1.5,1.5
-8.110399466,-9.068418316,1.5,1.5
-7.952068606,-9.049301462,1.5,1.5
-7.794096026,-9.02742043,1.5,1.5
-7.636529981,-9.002781904,1.5,1.5
-7.479418601,-8.97539341,1.5,1.5
-7.322809876,-8.945263314,1.5,1.5
-7.166751643,-8.91240082,1.5,1.5
-7.011291573,-8.876815965,1.5,1.5
-6.85647715,-8.83851962,1.5,1.5
-6.702355665,-8.797523483,1.5,1.5
-6.548974195,-8.753840075,1.5,1.5
-6.396379592,-8.70748274,1.5,1.5
-6.244618466,-8.658465639,1.5,1.5
-6.093737175,-8.606803744,1.5,1.5
-5.943781806,-8.552512835,1.5,1.5
-5.794798164,-8.495609497,1.5,1.5
-5.646831757,-8.436111111,1.5,1.5
-5.499927784,-8.37403585,1.5,1.5
-5.354131116,-8.309402677,1.5,1.5
-5.209486288,-8.242231334,1.5,1.5
-5.066037484,-8.17254234,1.5,1.5
-4.92382852,-8.10035698,1.5,1.5
-4.782902837,-8.025697304,1.5,1.5
-4.643303479,-7.948586119,1.5,1.5
-4.50507309,-7.869046978,1.5,1.5
-4.368253892,-7.787104177,1.5,1.5
-4.232887679,-7.702782746,1.5,1.5
-4.099015798,-7.616108442,1.5,1.5
-3.966679142,-7.52710774,1.5,1.5
-3.835918135,-7.435807826,1.5,1.5
-3.706772717,-7.342236588,1.5,1.5
-3.579282338,-7.246422608,1.5,1.5
-3.453485941,-7.148395154,1.5,1.5
-3.32942195,-7.048184168,1.5,1.5
-3.207128263,-6.945820261,1.5,1.5
-3.086642234,-6.841334701,1.5,1.5
-2.968000667,-6.734759403,1.5,1.5
-2.851239802,-6.626126922,1.5,1.5
-2.736395305,-6.51547044,1.5,1.5
-2.623502256,-6.402823759,1.5,1.5
-2.512595138,-6.288221286,1.5,1.5
-2.40370783,-6.171698029,1.5,1.5
-2.296873591,-6.05328958,1.5,1.5
-2.192125054,-5.933032108,1.5,1.5
-2.089494217,-5.810962346,1.5,1.5
-1.989012429,-5.687117581,1.5,1.5
-1.890710382,-5.561535644,1.5,1.5
-1.794618103,-5.434254894,1.5,1.5
-1.700764945,-5.305314209,1.5,1.5
-1.609179576,-5.174752976,1.5,1.5
-1.519889971,-5.042611075,1.5,1.5
-1.432923405,-4.90892887,1.5,1.5
-1.348306441,-4.773747197,1.5,1.5
-1.266064928,-4.637107346,1.5,1.5
-1.186223986,-4.499051055,1.5,1.5
-1.108808003,-4.359620495,1.5,1.5
-1.033840626,-4.218858256,1.5,1.5
-0.961344755,-4.076807335,1.5,1.5
-0.891342535,-3.933511122,1.5,1.5
-0.823855348,-3.789013389,1.5,1.5
-0.758903808,-3.643358272,1.5,1.5
-0.696507755,-3.496590265,1.5,1.5
-0.636686249,-3.348754197,1.5,1.5
-0.579457563,-3.199895227,1.5,1.5
-0.524839178,-3.050058825,1.5,1.5
-0.472847777,-2.899290759,1.5,1.5
-0.423499241,-2.747637083,1.5,1.5
-0.376808644,-2.59514412,1.5,1.5
-0.332790249,-2.441858451,1.5,1.5
-0.291457501,-2.287826898,1.5,1.5
-0.252823025,-2.133096511,1.5,1.5
-0.216898623,-1.977714553,1.5,1.5
-0.183695268,-1.821728488,1.5,1.5
-0.153223102,-1.665185961,1.5,1.5
-0.125491433,-1.508134791,1.5,1.5
-0.100508732,-1.35062295,1.5,1.5
-0.07828263,-1.192698551,1.5,1.5
-0.058819917,-1.034409833,1.5,1.5
-0.042126537,-0.875805147,1.5,1.5
-0.028207589,-0.716932939,1.5,1.5
-0.017067326,-0.557841739,1.5,1.5
-0.00870915,-0.398580142,1.5,1.5
-0.003135613,-0.239196795,1.5,1.5
-0.000348419,-0.079740384,1.5,1.5
-0.000348419,0.079740384,1.5,1.5
-0.003135613,0.239196795,1.5,1.5
-0.00870915,0.398580142,1.5,1.5
-0.017067326,0.557841739,1.5,1.5
-0.028207589,0.716932939,1.5,1.5
-0.042126537,0.875805147,1.5,1.5
-0.058819917,1.034409833,1.5,1.5
-0.07828263,1.192698551,1.5,1.5
-0.100508732,1.35062295,1.5,1.5
-0.125491433,1.508134791,1.5,1.5
-0.153223102,1.665185961,1.5,1.5
-0.183695268,1.821728488,1.5,1.5
-0.216898623,1.977714553,1.5,1.5
-0.252823025,2.133096511,1.5,1.5
-0.291457501,2.287826898,1.5,1.5
-0.332790249,2.441858451,1.5,1.5
-0.376808644,2.59514412,1.5,1.5
-0.423499241,2.747637083,1.5,1.5
-0.472847777,2.899290759,1.5,1.5
-0.524839178,3.050058825,1.5,1.5
-0.579457563,3.199895227,1.5,1.5
-0.636686249,3.348754197,1.5,1.5
-0.696507755,3.496590265,1.5,1.5
-0.758903808,3.643358272,1.5,1.5
-0.823855348,3.789013389,1.5,1.5
-0.891342535,3.933511122,1.5,1.5
-0.961344755,4.076807335,1.5,1.5
-1.033840626,4.218858256,1.5,1.5
-1.108808003,4.359620495,1.5,1.5
-1.186223986,4.499051055,1.5,1.5
-1.266064928,4.637107346,1.5,1.5
-1.348306441,4.773747197,1.5,1.5
-1.432923405,4.90892887,1.5,1.5
-1.519889971,5.042611075,1.5,1.5
-1.609179576,5.174752976,1.5,1.5
-1.700764945,5.305314209,1.5,1.5
-1.794618103,5.434254894,1.5,1.5
-1.890710382,5.561535644,1.5,1.5
-1.989012429,5.687117581,1.5,1.5
-2.089494217,5.810962346,1.5,1.5
-2.192125054,5.933032108,1.5,1.5
-2.296873591,6.05328958,1.5,1.5
-2.40370783,6.171698029,1.5,1.5
-2.512595138,6.288221286,1.5,1.5
-2.623502256,6.402823759,1.5,1.5
-2.736395305,6.51547044,1.5,1.5
-2.851239802,6.626126922,1.5,1.5
-2.968000667,6.734759403,1.5,1.5
-3.086642234,6.841334701,1.5,1.5
-3.207128263,6.945820261,1.5,1.5
-3.32942195,7.048184168,1.5,1.5
-3.453485941,7.148395154,1.5,1.5
-3.579282338,7.246422608,1.5,1.5
-3.706772717,7.342236588,1.5,1.5
-3.835918135,7.435807826,1.5,1.5
-3.966679142,7.52710774,1.5,1.5
-4.099015798,7.616108442,1.5,1.5
-4.232887679,7.702782746,1.5,1.5
-4.368253892,7.787104177,1.5,1.5
-4.50507309,7.869046978,1.5,1.5
-4.643303479,7.948586119,1.5,1.5
-4.782902837,8.025697304,1.5,1.5
-4.92382852,8.10035698,1.5,1.5
-5.066037484,8.17254234,1.5,1.5
-5.209486288,8.242231334,1.5,1.5
-5.354131116,8.309402677,1.5,1.5
-5.499927784,8.37403585,1.5,1.5
-5.646831757,8.436111111,1.5,1.5
-5.794798164,8.495609497,1.5,1.5
-5.943781806,8.552512835,1.5,1.5
-6.093737175,8.606803744,1.5,1.5
-6.244618466,8.658465639,1.5,1.5
-6.396379592,8.70748274,1.5,1.5
-6.548974195,8.753840075,1.5,1.5
-6.702355665,8.797523483,1.5,1.5
-6.85647715,8.83851962,1.5,1.5
-7.011291573,8.876815965,1.5,1.5
-7.166751643,8.91240082,1.5,1.5
-7.322809876,8.945263314,1.5,1.5
-7.479418601,8.97539341,1.5,1.5
-7.636529981,9.002781904,1.5,1.5
-7.794096026,9.02742043,1.5,1.5
-7.952068606,9.049301462,1.5,1.5
-8.110399466,9.068418316,1.5,1.5
-8.269040244,9.084765154,1.5,1.5
-8.427942481,9.098336981,1.5,1.5
-8.587057639,9.109129652,1.5,1.5
-8.746337117,9.117139871,1.5,1.5
-8.905732259,9.12236519,1.5,1.5
-9.065194379,9.124804014,1.5,1.5
-9.224674767,9.124455597,1.5,1.5
-9.384124708,9.121320046,1.5,1.5
-9.543495498,9.115398319,1.5,1.5
-9.702738455,9.106692225,1.5,1.5
-9.861804937,9.095204422,1.5,1.5
-10.02064636,9.080938421,1.5,1.5
-10.17921419,9.063898578,1.5,1.5
-10.33746001,9.044090099,1.5,1.5
-10.49533548,9.021519034,1.5,1.5
-10.65279237,8.996192277,1.5,1.5
-10.80978258,8.968117566,1.5,1.5
-10.96625816,8.937303475,1.5,1.5
-11.12217131,8.903759417,1.5,1.5
-11.27747441,8.867495639,1.5,1.5
-11.43212003,8.828523216,1.5,1.5
-11.58606091,8.786854055,1.5,1.5
-11.73925005,8.742500882,1.5,1.5
-11.89164064,8.695477247,1.5,1.5
-12.04318615,8.645797512,1.5,1.5
-12.19384027,8.593476853,1.5,1.5
-12.34355699,8.538531251,1.5,1.5
-12.49229057,8.48097749,1.5,1.5
-12.6399956,8.42083315,1.5,1.5
-12.78662694,8.358116604,1.5,1.5
-12.93213981,8.292847007,1.5,1.5
-13.07648976,8.225044297,1.5,1.5
-13.2196327,8.154729185,1.5,1.5
-13.3615249,8.08192315,1.5,1.5
-13.50212302,8.00664843,1.5,1.5
-13.64138412,7.928928018,1.5,1.5
-13.77926565,7.848785656,1.5,1.5
-13.9157255,7.766245822,1.5,1.5
-14.05072199,7.68133373,1.5,1.5
-14.18421388,7.594075317,1.5,1.5
-14.3161604,7.504497235,1.5,1.5
-14.44652123,7.412626848,1.5,1.5
-14.57525657,7.318492218,1.5,1.5
-14.70232708,7.2221221,1.5,1.5
-14.82769396,7.123545929,1.5,1.5
-14.95131891,7.022793817,1.5,1.5
-15.07316416,6.91989654,1.5,1.5
-15.1931925,6.814885528,1.5,1.5
-15.31136727,6.707792858,1.5,1.5
-15.42765236,6.598651242,1.5,1.5
-15.54201226,6.487494017,1.5,1.5
-15.65441204,6.374355139,1.5,1.5
-15.76481736,6.259269165,1.5,1.5
-15.87319449,6.14227125,1.5,1.5
-15.97951034,6.023397132,1.5,1.5
-16.08373242,5.902683122,1.5,1.5
-16.18582891,5.780166093,1.5,1.5
-16.28576862,5.655883468,1.5,1.5
-16.38352101,5.52987321,1.5,1.5
-16.47905624,5.402173811,1.5,1.5
-16.57234511,5.272824277,1.5,1.5
-16.66335913,5.141864119,1.5,1.5
-16.7520705,5.00933334,1.5,1.5
-16.83845213,4.875272422,1.5,1.5
-16.92247763,4.739722315,1.5,1.5
-17.00412133,4.602724424,1.5,1.5
-17.08335829,4.464320596,1.5,1.5
-17.16016431,4.324553107,1.5,1.5
-17.23451592,4.183464651,1.5,1.5
-17.30639043,4.041098324,1.5,1.5
-17.37576586,3.897497613,1.5,1.5
-17.44262104,3.752706382,1.5,1.5
-17.50693554,3.606768858,1.5,1.5
-17.56868971,3.45972962,1.5,1.5
-17.6278647,3.311633581,1.5,1.5
-17.68444241,3.162525978,1.5,1.5
-17.73840559,3.012452358,1.5,1.5
-17.78973773,2.861458561,1.5,1.5
-17.83842316,2.70959071,1.5,1.5
-17.88444701,2.556895194,1.5,1.5
-17.92779522,2.403418656,1.5,1.5
-17.96845456,2.249207974,1.5,1.5
-18.00641259,2.094310256,1.5,1.5
-18.04165772,1.938772814,1.5,1.5
-18.0741792,1.782643159,1.5,1.5
-18.10396708,1.625968983,1.5,1.5
-18.13101227,1.468798142,1.5,1.5
-18.1553065,1.311178645,1.5,1.5
-18.17684236,1.153158639,1.5,1.5
-18.19561327,0.994786392,1.5,1.5
-18.21161348,0.83611028,1.5,1.5
-18.22483813,0.677178772,1.5,1.5
-18.23528315,0.518040415,1.5,1.5
-18.24294538,0.358743818,1.5,1.5
-18.24782245,0.19933764,1.5,1.5
-18.24991289,0.039870573,1.5,1.5
-18.24921606,-0.119608673,1.5,1.5
-18.24573217,-0.279051384,1.5,1.5
-18.23946228,-0.438408856,1.5,1.5
-18.23040831,-0.597632413,1.5,1.5
-18.21857302,-0.756673418,1.5,1.5
-18.20396004,-0.915483292,1.5,1.5
-18.18657381,-1.074013525,1.5,1.5
-18.16641966,-1.232215692,1.5,1.5
-18.14350374,-1.390041469,1.5,1.5
-18.11783305,-1.547442648,1.5,1.5
-18.08941543,-1.704371149,1.5,1.5
-18.05825956,-1.860779036,1.5,1.5
-18.02437496,-2.016618535,1.5,1.5
-17.98777198,-2.171842042,1.5,1.5
-17.9484618,-2.326402144,1.5,1.5
-17.90645642,-2.480251628,1.5,1.5
-17.86176868,-2.633343501,1.5,1.5
-17.81441223,-2.785630999,1.5,1.5
-17.76440153,-2.937067605,1.5,1.5
-17.71175187,-3.087607062,1.5,1.5
-17.65647931,-3.237203385,1.5,1.5
-17.59860075,-3.38581088,1.5,1.5
-17.53813386,-3.533384154,1.5,1.5
-17.47509712,-3.679878129,1.5,1.5
-17.40950978,-3.825248057,1.5,1.5
-17.34139187,-3.969449534,1.5,1.5
-17.2707642,-4.112438513,1.5,1.5
-17.19764835,-4.254171316,1.5,1.5
-17.12206665,-4.394604651,1.5,1.5
-17.04404218,-4.53369562,1.5,1.5
-16.96359878,-4.671401737,1.5,1.5
-16.88076102,-4.80768094,1.5,1.5
-16.7955542,-4.9424916,1.5,1.5
-16.70800436,-5.075792538,1.5,1.5
-16.61813823,-5.207543038,1.5,1.5
-16.52598326,-5.337702853,1.5,1.5
-16.43156761,-5.466232228,1.5,1.5
